ID,Date,URL,Name,Venue,Leader,Next,,9
80482549,28. Apr. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+28.04.2026/80482549,KAVAL HC Torek 28.04.2026,Biljardnica Kaval,Tomaž Varvaris,Tomi Bratina,,
81082615,04. May. 26,https://cuescore.com/tournament/OSMICA+HC+-+4.5.2026/81082615,OSMICA HC - 4.5.2026,Plac,Vuk Strugar,Tomi Bratina,,
80795032,05. May. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+05.05.2026/80795032,KAVAL HC Torek 05.05.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
81500899,11. May. 26,https://cuescore.com/tournament/OSMICA+HC+-+11.5.2026/81500899,OSMICA HC - 11.5.2026,Plac,Vuk Strugar,Vuk Strugar,,
81170560,12. May. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+12.05.2026/81170560,KAVAL HC Torek 12.05.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
81824335,18. May. 26,https://cuescore.com/tournament/OSMICA+HC+-+18.5.2026/81824335,OSMICA HC - 18.5.2026,Plac,Vuk Strugar,Vuk Strugar,,
81824692,19. May. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+19.05.2026/81824692,KAVAL HC Torek 19.05.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
82316083,25. May. 26,https://cuescore.com/tournament/OSMICA+HC+-+25.5.2026/82316083,OSMICA HC - 25.5.2026,Plac,Vuk Strugar,Vuk Strugar,,
81824845,26. May. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+26.05.2026/81824845,KAVAL HC Torek 26.05.2026,Biljardnica Kaval,Tomaž Varvaris,Tomaž Varvaris,,
82626382,01. Jun. 26,https://cuescore.com/tournament/OSMICA+HC+-+1.6.2026/82626382,OSMICA HC - 1.6.2026,Plac,Vuk Strugar,Vuk Strugar,,
82399141,02. Jun. 26,https://cuescore.com/tournament/KAVAL+HC+Torek+02.06.2026/82399141,KAVAL HC Torek 02.06.2026,Biljardnica Kaval,Tomaž Varvaris,Maya,,
